model	name	type	hash	6.1	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0
ir.module.module		merge	ACCOUNT_BANK_STATEMENT_PERIOD_FROM_LINE_DATE|ACCOUNT	account_bank_statement_period_from_line_date	account_bank_statement_period_from_line_date	account_bank_statement_period_from_line_date	account	account	account	account	account	account
ir.module.module		merge	ACCOUNT_CHART|ACCOUNT	account_chart	account_chart	account_chart	account	account	account	account	account	account
ir.module.module		merge	ACCOUNT_EASY_RECONCILE|ACCOUNT_MASS_RECONCILE	account_easy_reconcile	account_easy_reconcile	account_easy_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile	account_mass_reconcile
ir.module.module		merge	ACCOUNT_FINANCIAL_REPORT_WEBKIT_XLS|ACCOUNT_FINANCIAL_REPORT_QWEB|ACCOUNT_FINANCIAL_REPORT	account_financial_report_webkit_xls	account_financial_report_webkit_xls	account_financial_report_webkit_xls	account_financial_report_qweb	account_financial_report_qweb	account_financial_report_qweb	account_financial_report	account_financial_report	account_financial_report
ir.module.module		merge	ACCOUNT_FOLLOWUP|ACCOUNT_CREDIT_CONTROL	account_followup	account_followup	account_followup	account_credit_control	account_credit_control	account_credit_control	account_credit_control	account_credit_control	account_credit_control
ir.module.module		merge	ACCOUNT_FULL_RECONCILE|ACCOUNT	account_full_reconcile	account_full_reconcile	account_full_reconcile	account_full_reconcile	account	account	account	account	account
ir.module.module		merge	ACCOUNT_INVOICE_REORDER_LINES|ACCOUNT	account_invoice_reorder_lines	account_invoice_reorder_lines	account_invoice_reorder_lines	account	account	account	account	account	account
ir.module.module		merge	ACCOUNT_JOURNAL_REPORT_XLS|ACCOUNT_JOURNAL_REPORT	account_journal_report_xls	account_journal_report_xls	account_journal_report_xls	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report
ir.module.module		merge	ACCOUNT_JOURNAL_REPORT|ACCOUNT_FINANCIAL_REPORT_QWEB	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_financial_report_qweb	account_financial_report_qweb	account_financial_report_qweb	account_financial_report_qweb	account_financial_report_qweb
ir.module.module		merge	ACCOUNT_MOVE_LINE_NO_DEFAULT_SEARCH|ACCOUNT	account_move_line_no_default_search	account_move_line_no_default_search	account_move_line_no_default_search	account	account	account	account	account	account
ir.module.module		merge	ACCOUNT_PAYMENT_SALE_STOCK|ACCOUNT_PAYMENT_SALE	account_payment_sale_stock	account_payment_sale_stock	account_payment_sale_stock	account_payment_sale	account_payment_sale	account_payment_sale	account_payment_sale	account_payment_sale	account_payment_sale
ir.module.module		merge	ACCOUNT_PAYMENT_TERM_MULTI_DAY|ACCOUNT_PAYMENT_TERM_EXTENSION	account_payment_term_multi_day	account_payment_term_multi_day	account_payment_term_multi_day	account_payment_term_extension	account_payment_term_extension	account_payment_term_extension	account_payment_term_extension	account_payment_term_extension	account_payment_term_extension
ir.module.module		merge	ACCOUNT_TAX_CHART_INTERVAL|ACCOUNT	account_tax_chart_interval	account_tax_chart_interval	account_tax_chart_interval	account	account	account	account	account	account
ir.module.module		merge	ACCOUNT_TAX_REPORT_NO_ZEROES|ACCOUNT	account_tax_report_no_zeroes	account_tax_report_no_zeroes	account_tax_report_no_zeroes	account	account	account	account	account	account
ir.module.module		merge	ASTERISK_CLICK2DIAL_CRM|CRM_PHONE	asterisk_click2dial_crm	asterisk_click2dial_crm	asterisk_click2dial_crm	crm_phone	crm_phone	crm_phone	crm_phone	crm_phone	crm_phone
ir.module.module		merge	BASE_CONCURRENCY|BASE	base_concurrency	base_concurrency	base_concurrency	base	base	base	base	base	base
ir.module.module		merge	BASE_DEBUG4ALL|BASE	base_debug4all	base_debug4all	base_debug4all	base	base	base	base	base	base
ir.module.module		merge	CONTACTS|MAIL	contacts	contacts	contacts	mail	mail	mail	mail	mail	mail
ir.module.module		merge	CRM_LEAD_LOST_REASON|CRM	crm_lead_lost_reason	crm_lead_lost_reason	crm_lead_lost_reason	crm	crm	crm	crm	crm	crm
ir.module.module		merge	CRON_RUN_MANUALLY|BASE	cron_run_manually	cron_run_manually	cron_run_manually	base	base	base	base	base	base
ir.module.module		merge	EMAIL_TEMPLATE|MAIL	email_template	email_template	email_template	mail	mail	mail	mail	mail	mail
ir.module.module		merge	HR_APPLICANT_DOCUMENT|HR_RECRUITMENT	hr_applicant_document	hr_applicant_document	hr_applicant_document	hr_recruitment	hr_recruitment	hr_recruitment	hr_recruitment	hr_recruitment	hr_recruitment
ir.module.module		merge	IM_CHAT|MAIL	im_chat	im_chat	im_chat	mail	mail	mail	mail	mail	mail
ir.module.module		merge	IM_ODOO_SUPPORT|IM_LIVECHAT	im_odoo_support	im_odoo_support	im_odoo_support	im_odoo_support	im_livechat	im_livechat	im_livechat	im_livechat	im_livechat
ir.module.module		merge	L10N_ES_ACCOUNT_FINANCIAL_REPORT|ACCOUNT_JOURNAL_REPORT	l10n_es_account_financial_report	l10n_es_account_financial_report	l10n_es_account_financial_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report	account_journal_report
